index,Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
250,Total,Total,Blagoevgrad,77,2020,16,94.0,60.0,85.0,71.0,80.0,78.0,11.7,1.96,10.3,67.7,88.3,-1.0,10.3,-1.3,11.5,78.0 (±10.3),-1.0 (±10.3),-1.3% (±11.5%)
251,Total,Total,Pernik,41,2020,16,50.0,43.0,52.0,41.0,47.0,46.6,4.1,1.96,3.6,43.0,50.2,-5.6,3.6,-12.0,6.3,46.6 (±3.6),-5.6 (±3.6),-12.0% (±6.3%)
252,Total,Total,Kyustendil,37,2020,16,50.0,42.0,51.0,48.0,45.0,47.2,3.3,1.96,2.9,44.300000000000004,50.1,-10.2,2.9,-21.6,4.5,47.2 (±2.9),-10.2 (±2.9),-21.6% (±4.5%)
253,Total,Total,Yuzhen tsentralen,431,2020,16,452.0,366.0,417.0,398.0,394.0,405.4,28.4,1.96,24.9,380.5,430.29999999999995,25.6,24.9,6.3,6.1,405.4 (±24.9),25.6 (±24.9),6.3% (±6.1%)
254,Total,Total,Plovdiv,181,2020,16,188.0,168.0,177.0,191.0,180.0,180.8,8.2,1.96,7.2,173.60000000000002,188.0,0.2,7.2,0.1,3.8,180.8 (±7.2),0.2 (±7.2),0.1% (±3.8%)
255,Total,Total,Haskovo,78,2020,16,100.0,53.0,77.0,60.0,79.0,73.8,16.4,1.96,14.4,59.4,88.2,4.2,14.4,5.7,17.3,73.8 (±14.4),4.2 (±14.4),5.7% (±17.3%)
256,Total,Total,Pazardzhik,92,2020,16,91.0,78.0,86.0,76.0,69.0,80.0,7.7,1.96,6.7,73.3,86.7,12.0,6.7,15.0,8.9,80.0 (±6.7),12.0 (±6.7),15.0% (±8.9%)
257,Total,Total,Smolyan,34,2020,16,25.0,36.0,38.0,34.0,29.0,32.4,4.8,1.96,4.2,28.2,36.6,1.6,4.2,4.9,12.0,32.4 (±4.2),1.6 (±4.2),4.9% (±12.0%)
258,Total,Total,Kardzhali,46,2020,16,48.0,31.0,39.0,37.0,37.0,38.4,5.5,1.96,4.8,33.6,43.199999999999996,7.6,4.8,19.8,13.3,38.4 (±4.8),7.6 (±4.8),19.8% (±13.3%)
259,Total,Total,Bulgaria,1982,2020,17,2135.0,1968.0,2035.0,2073.0,2051.0,2052.4,54.2,1.96,47.5,2004.9,2099.9,-70.4,47.5,-3.4,2.2,2052.4 (±47.5),-70.4 (±47.5),-3.4% (±2.2%)
260,Total,Total,Severna i yugoiztochna Bulgaria,1056,2020,17,1150.0,1091.0,1077.0,1139.0,1114.0,1114.2,27.6,1.96,24.2,1090.0,1138.4,-58.2,24.2,-5.2,2.0,1114.2 (±24.2),-58.2 (±24.2),-5.2% (±2.0%)
261,Total,Total,Severozapaden,263,2020,17,294.0,269.0,277.0,291.0,264.0,279.0,11.8,1.96,10.3,268.7,289.3,-16.0,10.3,-5.7,3.4,279.0 (±10.3),-16.0 (±10.3),-5.7% (±3.4%)
262,Total,Total,Vidin,36,2020,17,29.0,35.0,45.0,38.0,35.0,36.4,5.2,1.96,4.6,31.799999999999997,41.0,-0.4,4.6,-1.1,11.1,36.4 (±4.6),-0.4 (±4.6),-1.1% (±11.1%)
263,Total,Total,Montana,39,2020,17,61.0,50.0,53.0,50.0,52.0,53.2,4.1,1.96,3.6,49.6,56.800000000000004,-14.2,3.6,-26.7,4.6,53.2 (±3.6),-14.2 (±3.6),-26.7% (±4.6%)
264,Total,Total,Vratsa,57,2020,17,56.0,59.0,45.0,58.0,69.0,57.4,7.7,1.96,6.7,50.699999999999996,64.1,-0.4,6.7,-0.7,10.4,57.4 (±6.7),-0.4 (±6.7),-0.7% (±10.4%)
265,Total,Total,Pleven,91,2020,17,106.0,82.0,73.0,92.0,76.0,85.8,12.0,1.96,10.5,75.3,96.3,5.2,10.5,6.1,11.6,85.8 (±10.5),5.2 (±10.5),6.1% (±11.6%)
266,Total,Total,Lovech,40,2020,17,42.0,43.0,61.0,53.0,32.0,46.2,9.9,1.96,8.7,37.5,54.900000000000006,-6.2,8.7,-13.4,13.7,46.2 (±8.7),-6.2 (±8.7),-13.4% (±13.7%)
267,Total,Total,Severen tsentralen,252,2020,17,270.0,269.0,277.0,265.0,286.0,273.4,7.4,1.96,6.5,266.9,279.9,-21.4,6.5,-7.8,2.2,273.4 (±6.5),-21.4 (±6.5),-7.8% (±2.2%)
268,Total,Total,Veliko Tarnovo,76,2020,17,84.0,80.0,90.0,88.0,72.0,82.8,6.4,1.96,5.6,77.2,88.39999999999999,-6.8,5.6,-8.2,5.8,82.8 (±5.6),-6.8 (±5.6),-8.2% (±5.8%)
269,Total,Total,Gabrovo,42,2020,17,52.0,44.0,53.0,44.0,57.0,50.0,5.2,1.96,4.6,45.4,54.6,-8.0,4.6,-16.0,7.1,50.0 (±4.6),-8.0 (±4.6),-16.0% (±7.1%)
270,Total,Total,Ruse,65,2020,17,64.0,64.0,56.0,80.0,85.0,69.8,10.9,1.96,9.6,60.199999999999996,79.39999999999999,-4.8,9.6,-6.9,11.2,69.8 (±9.6),-4.8 (±9.6),-6.9% (±11.2%)
271,Total,Total,Razgrad,33,2020,17,38.0,36.0,33.0,25.0,35.0,33.4,4.5,1.96,3.9,29.5,37.3,-0.4,3.9,-1.2,10.3,33.4 (±3.9),-0.4 (±3.9),-1.2% (±10.3%)
272,Total,Total,Silistra,36,2020,17,32.0,45.0,45.0,28.0,37.0,37.4,6.8,1.96,6.0,31.4,43.4,-1.4,6.0,-3.7,13.4,37.4 (±6.0),-1.4 (±6.0),-3.7% (±13.4%)
